c,c_list_length,length_mismatches,non-monotonic,internal_zeros,last_exp_too_large,b_attempts,a_attempts,smaller_rejects,PF-slope
5,3,1,0,0,0,1,0,0,2
6,3,1,0,0,0,1,0,0,3
7,4,1,0,0,0,1,0,0,3
8,4,1,0,0,0,1,0,0,6
9,4,0,0,0,1,1,0,0,6
10,4,0,1,0,0,2,1,1,6
11,5,1,0,0,0,1,0,0,6
12,5,1,0,0,0,1,0,0,8
13,6,1,0,0,0,1,0,0,8
14,6,1,0,0,0,1,0,0,9
15,6,1,0,0,0,2,1,0,8
16,6,0,0,0,0,1,1,1,12
17,7,1,0,0,0,1,0,0,12
18,7,1,0,0,0,1,0,0,13
19,8,1,0,0,0,1,0,0,13
20,8,1,0,0,0,1,0,0,14
21,8,1,0,0,0,2,1,0,14
22,8,1,0,1,0,3,1,0,15
23,9,1,0,0,0,1,0,0,15
24,9,1,0,0,0,1,0,0,18
25,9,0,0,0,1,1,0,0,16
26,9,1,1,1,0,3,0,0,17
27,9,1,2,1,0,4,0,0,17
28,9,1,1,3,0,5,0,0,19
29,10,1,0,0,0,1,0,0,19
30,10,1,0,0,0,1,0,0,19
31,11,1,0,0,0,1,0,0,19
32,11,1,0,0,0,1,0,0,24
33,11,1,0,1,0,2,0,0,24
34,11,1,0,2,0,3,0,0,25
35,11,1,0,3,0,4,0,0,24
36,11,1,0,3,0,5,1,0,26
37,12,1,0,0,0,1,0,0,26
38,12,1,0,0,0,1,0,0,27
39,12,1,0,1,0,2,0,0,27
40,12,1,0,2,0,3,0,0,29
41,13,1,0,0,0,1,0,0,29
42,13,1,0,0,0,1,0,0,30
43,14,1,0,0,0,1,0,0,30
44,14,1,0,0,0,1,0,0,32
45,14,1,0,1,0,2,0,0,31
46,14,1,1,1,0,3,0,0,32
47,15,1,0,0,0,1,0,0,32
48,15,1,0,0,0,1,0,0,36
49,15,0,0,0,1,1,0,0,36
50,15,0,0,0,1,1,0,0,35
51,15,1,2,1,0,4,0,0,35
52,15,1,2,2,0,5,0,0,37
53,16,1,0,0,0,1,0,0,37
54,16,1,0,0,0,1,0,0,38
55,16,1,1,0,0,2,0,0,37
56,16,1,0,1,0,3,1,0,40
57,16,1,0,3,0,4,0,0,40
58,16,1,0,4,0,5,0,0,41
59,17,1,0,0,0,1,0,0,41
60,17,1,0,0,0,1,0,0,42
61,18,1,0,0,0,1,0,0,42
62,18,1,0,0,0,1,0,0,43
63,18,1,1,0,0,2,0,0,43
64,18,1,0,2,0,3,0,0,49
65,18,1,0,3,0,4,0,0,48
66,18,1,0,3,0,5,1,0,49
67,19,1,0,0,0,1,0,0,49
68,19,1,0,0,0,1,0,0,51
69,19,1,0,1,0,2,0,0,51
70,19,1,0,2,0,3,0,0,51
71,20,1,0,0,0,1,0,0,51
72,20,1,0,0,0,1,0,0,54
73,21,1,0,0,0,1,0,0,54
74,21,1,0,0,0,1,0,0,55
75,21,1,1,0,0,2,0,0,53
76,21,1,2,0,0,3,0,0,55
77,21,1,2,1,0,4,0,0,55
78,21,1,0,4,0,5,0,0,56
79,22,1,0,0,0,1,0,0,56
80,22,1,0,0,0,1,0,0,59
81,22,0,0,0,0,1,1,2,59
82,22,1,1,1,0,3,0,0,60
83,23,1,0,0,0,1,0,0,60
84,23,1,0,0,0,1,0,0,62
85,23,1,0,1,0,2,0,0,61
86,23,1,0,2,0,3,0,0,62
87,23,1,0,3,0,4,0,0,62
88,23,1,0,4,0,5,0,0,65
89,24,1,0,0,0,1,0,0,65
90,24,1,0,0,0,1,0,0,65
91,24,1,1,0,0,2,0,0,65
92,24,1,0,2,0,3,0,0,67
93,24,1,0,3,0,4,0,0,67
94,24,1,0,4,0,5,0,0,68
95,24,1,0,5,0,6,0,0,67
96,24,1,0,6,0,7,0,0,72
97,25,1,0,0,0,1,0,0,72
98,25,1,0,0,0,1,0,0,73
99,25,1,1,0,0,2,0,0,73
100,25,1,0,1,0,3,1,0,73
101,26,1,0,0,0,1,0,0,73
102,26,1,0,0,0,1,0,0,74
103,27,1,0,0,0,1,0,0,74
104,27,1,0,0,0,1,0,0,77
105,27,1,0,1,0,2,0,0,76
106,27,1,0,2,0,3,0,0,77
107,28,1,0,0,0,1,0,0,77
108,28,1,0,0,0,1,0,0,79
109,29,1,0,0,0,1,0,0,79
110,29,1,0,0,0,1,0,0,79
111,29,1,0,1,0,2,0,0,79
112,29,1,0,2,0,3,0,0,83
113,30,1,0,0,0,1,0,0,83
114,30,1,0,0,0,1,0,0,84
115,30,1,0,1,0,2,0,0,83
116,30,1,0,2,0,3,0,0,85
117,30,1,0,3,0,4,0,0,85
118,30,1,1,3,0,5,0,0,86
119,30,1,1,4,0,6,0,0,86
120,30,1,0,6,0,7,0,0,88
121,30,0,0,0,1,1,0,0,88
122,30,1,6,2,0,9,0,0,89
123,30,1,6,3,0,10,0,0,89
124,30,1,6,4,0,11,0,0,91
125,30,1,10,1,0,12,0,0,88
126,30,1,4,8,0,13,0,0,89
127,31,1,0,0,0,1,0,0,89
128,31,1,0,0,0,1,0,0,96
129,31,1,0,1,0,2,0,0,96
130,31,1,0,2,0,3,0,0,96
131,32,1,0,0,0,1,0,0,96
132,32,1,0,0,0,1,0,0,98
133,32,1,0,1,0,2,0,0,98
134,32,1,0,2,0,3,0,0,99
135,32,1,3,0,0,4,0,0,98
136,32,1,0,4,0,5,0,0,101
137,33,1,0,0,0,1,0,0,101
138,33,1,0,0,0,1,0,0,102
139,34,1,0,0,0,1,0,0,102
140,34,1,0,0,0,1,0,0,103
141,34,1,0,1,0,2,0,0,103
142,34,1,0,2,0,3,0,0,104
143,34,1,0,3,0,4,0,0,104
144,34,1,0,4,0,5,0,0,108
145,34,1,0,5,0,6,0,0,107
146,34,1,0,6,0,7,0,0,108
147,34,1,6,1,0,8,0,0,108
148,34,1,6,2,0,9,0,0,110
149,35,1,0,0,0,1,0,0,110
150,35,1,0,0,0,1,0,0,109
151,36,1,0,0,0,1,0,0,109
152,36,1,0,0,0,1,0,0,112
153,36,1,0,1,0,2,0,0,112
154,36,1,1,1,0,3,0,0,113
155,36,1,1,2,0,4,0,0,112
156,36,1,0,4,0,5,0,0,114
157,37,1,0,0,0,1,0,0,114
158,37,1,0,0,0,1,0,0,115
159,37,1,0,1,0,2,0,0,115
160,37,1,0,2,0,3,0,0,119
161,37,1,0,3,0,4,0,0,119
162,37,1,1,3,0,5,0,0,120
163,38,1,0,0,0,1,0,0,120
164,38,1,0,0,0,1,0,0,122
165,38,1,0,1,0,2,0,0,121
166,38,1,0,2,0,3,0,0,122
167,39,1,0,0,0,1,0,0,122
168,39,1,0,0,0,1,0,0,125
169,39,0,0,0,1,1,0,0,125
170,39,1,0,2,0,3,0,0,125
171,39,1,2,1,0,4,0,0,125
172,39,1,0,4,0,5,0,0,127
173,40,1,0,0,0,1,0,0,127
174,40,1,0,0,0,1,0,0,128
175,40,1,1,0,0,2,0,0,126
176,40,1,1,1,0,3,0,0,130
177,40,1,1,2,0,4,0,0,130
178,40,1,1,3,0,5,0,0,131
179,41,1,0,0,0,1,0,0,131
180,41,1,0,0,0,1,0,0,132
181,42,1,0,0,0,1,0,0,132
182,42,1,0,0,0,1,0,0,133
183,42,1,0,1,0,2,0,0,133
184,42,1,0,2,0,3,0,0,136
185,42,1,0,3,0,4,0,0,135
186,42,1,0,4,0,5,0,0,136
187,42,1,0,5,0,6,0,0,136
188,42,1,0,6,0,7,0,0,138
189,42,1,5,2,0,8,0,0,138
190,42,1,1,7,0,9,0,0,138
191,43,1,0,0,0,1,0,0,138
192,43,1,0,0,0,1,0,0,144
193,44,1,0,0,0,1,0,0,144
194,44,1,0,0,0,1,0,0,145
195,44,1,0,1,0,2,0,0,144
196,44,1,2,0,0,3,0,0,146
197,45,1,0,0,0,1,0,0,146
198,45,1,0,0,0,1,0,0,147
199,46,1,0,0,0,1,0,0,147
200,46,1,0,0,0,1,0,0,148
201,46,1,1,0,0,2,0,0,148
202,46,1,1,1,0,3,0,0,149
203,46,1,1,2,0,4,0,0,149
204,46,1,0,4,0,5,0,0,151
205,46,1,1,4,0,6,0,0,150
206,46,1,1,5,0,7,0,0,151
207,46,1,2,5,0,8,0,0,151
208,46,1,0,8,0,9,0,0,155
209,46,1,0,9,0,10,0,0,155
210,46,1,0,10,0,11,0,0,155
211,47,1,0,0,0,1,0,0,155
212,47,1,0,0,0,1,0,0,157
213,47,1,0,1,0,2,0,0,157
214,47,1,0,2,0,3,0,0,158
215,47,1,0,3,0,4,0,0,157
216,47,1,0,4,0,5,0,0,160
217,47,1,0,5,0,6,0,0,160
218,47,1,0,6,0,7,0,0,161
219,47,1,0,7,0,8,0,0,161
220,47,1,0,8,0,9,0,0,162
221,47,1,0,9,0,10,0,0,162
222,47,1,0,10,0,11,0,0,163
223,48,1,0,0,0,1,0,0,163
224,48,1,0,0,0,1,0,0,168
225,48,0,0,0,0,1,1,1,166
226,48,1,1,1,0,3,0,0,167
227,49,1,0,0,0,1,0,0,167
228,49,1,0,0,0,1,0,0,169
229,50,1,0,0,0,1,0,0,169
230,50,1,0,0,0,1,0,0,169
231,50,1,0,1,0,2,0,0,169
232,50,1,0,2,0,3,0,0,172
233,51,1,0,0,0,1,0,0,172
234,51,1,0,0,0,1,0,0,173
235,51,1,1,0,0,2,0,0,172
236,51,1,0,2,0,3,0,0,174
237,51,1,0,3,0,4,0,0,174
238,51,1,0,4,0,5,0,0,175
239,52,1,0,0,0,1,0,0,175
240,52,1,0,0,0,1,0,0,178
241,53,1,0,0,0,1,0,0,178
242,53,1,0,0,0,1,0,0,179
243,53,0,0,0,1,1,0,0,179
244,53,1,2,0,0,3,0,0,181
245,53,1,2,1,0,4,0,0,180
246,53,1,4,0,0,5,0,0,181
247,53,1,4,1,0,6,0,0,181
248,53,1,4,2,0,7,0,0,184
249,53,1,4,3,0,8,0,0,184
250,53,1,6,2,0,9,0,0,182
251,54,1,0,0,0,1,0,0,182
252,54,1,0,0,0,1,0,0,184
253,54,1,0,1,0,2,0,0,184
254,54,1,0,2,0,3,0,0,185
255,54,1,0,3,0,4,0,0,184
256,54,1,0,4,0,5,0,0,192
257,55,1,0,0,0,1,0,0,192
258,55,1,0,0,0,1,0,0,193
259,55,1,0,1,0,2,0,0,193
260,55,1,0,2,0,3,0,0,194
261,55,1,0,3,0,4,0,0,194
262,55,1,1,3,0,5,0,0,195
263,56,1,0,0,0,1,0,0,195
264,56,1,0,0,0,1,0,0,198
265,56,1,0,1,0,2,0,0,197
266,56,1,0,2,0,3,0,0,198
267,56,1,0,3,0,4,0,0,198
268,56,1,0,4,0,5,0,0,200
269,57,1,0,0,0,1,0,0,200
270,57,1,0,0,0,1,0,0,200
271,58,1,0,0,0,1,0,0,200
272,58,1,0,0,0,1,0,0,204
273,58,1,0,1,0,2,0,0,204
274,58,1,0,2,0,3,0,0,205
275,58,1,2,1,0,4,0,0,203
276,58,1,2,2,0,5,0,0,205
277,59,1,0,0,0,1,0,0,205
278,59,1,0,0,0,1,0,0,206
279,59,1,1,0,0,2,0,0,206
280,59,1,0,2,0,3,0,0,208
281,60,1,0,0,0,1,0,0,208
282,60,1,0,0,0,1,0,0,209
283,61,1,0,0,0,1,0,0,209
284,61,1,0,0,0,1,0,0,211
285,61,1,0,1,0,2,0,0,210
286,61,1,0,2,0,3,0,0,211
287,61,1,0,3,0,4,0,0,211
288,61,1,0,4,0,5,0,0,216
289,61,0,0,0,1,1,0,0,216
290,61,1,3,3,0,7,0,0,216
291,61,1,3,4,0,8,0,0,216
292,61,1,3,5,0,9,0,0,218
293,62,1,0,0,0,1,0,0,218
294,62,1,0,0,0,1,0,0,219
295,62,1,1,0,0,2,0,0,218
296,62,1,1,1,0,3,0,0,221
297,62,1,1,2,0,4,0,0,221
298,62,1,2,2,0,5,0,0,222
299,62,1,2,3,0,6,0,0,222
300,62,1,3,3,0,7,0,0,222
301,62,1,4,3,0,8,0,0,222
302,62,1,3,5,0,9,0,0,223
303,62,1,1,8,0,10,0,0,223
304,62,1,0,10,0,11,0,0,227
305,62,1,3,8,0,12,0,0,226
306,62,1,1,11,0,13,0,0,227
307,63,1,0,0,0,1,0,0,227
308,63,1,0,0,0,1,0,0,229
309,63,1,0,1,0,2,0,0,229
310,63,1,0,2,0,3,0,0,229
311,64,1,0,0,0,1,0,0,229
312,64,1,0,0,0,1,0,0,232
313,65,1,0,0,0,1,0,0,232
314,65,1,0,0,0,1,0,0,233
315,65,1,1,0,0,2,0,0,232
316,65,1,0,2,0,3,0,0,234
317,66,1,0,0,0,1,0,0,234
318,66,1,0,0,0,1,0,0,235
319,66,1,0,1,0,2,0,0,235
320,66,1,0,2,0,3,0,0,240
321,66,1,0,3,0,4,0,0,240
322,66,1,0,4,0,5,0,0,241
323,66,1,0,5,0,6,0,0,241
324,66,1,3,3,0,7,0,0,243
325,66,1,4,3,0,8,0,0,241
326,66,1,3,5,0,9,0,0,242
327,66,1,5,4,0,10,0,0,242
328,66,1,1,9,0,11,0,0,245
329,66,1,1,10,0,12,0,0,245
330,66,1,1,11,0,13,0,0,245
331,67,1,0,0,0,1,0,0,245
332,67,1,0,0,0,1,0,0,247
333,67,1,0,1,0,2,0,0,247
334,67,1,1,1,0,3,0,0,248
335,67,1,1,2,0,4,0,0,247
336,67,1,0,4,0,5,0,0,251
337,68,1,0,0,0,1,0,0,251
338,68,1,0,0,0,1,0,0,252
339,68,1,0,1,0,2,0,0,252
340,68,1,0,2,0,3,0,0,253
341,68,1,0,3,0,4,0,0,253
342,68,1,1,3,0,5,0,0,254
343,68,1,5,0,0,6,0,0,254
344,68,1,3,3,0,7,0,0,257
345,68,1,6,1,0,8,0,0,256
346,68,1,6,2,0,9,0,0,257
347,69,1,0,0,0,1,0,0,257
348,69,1,0,0,0,1,0,0,259
349,70,1,0,0,0,1,0,0,259
350,70,1,0,0,0,1,0,0,258
351,70,1,1,0,0,2,0,0,258
352,70,1,0,1,0,3,1,0,263
353,71,1,0,0,0,1,0,0,263
354,71,1,0,0,0,1,0,0,264
355,71,1,0,1,0,2,0,0,263
356,71,1,0,2,0,3,0,0,265
357,71,1,0,3,0,4,0,0,265
358,71,1,0,4,0,5,0,0,266
359,72,1,0,0,0,1,0,0,266
360,72,1,0,0,0,1,0,0,268
361,72,0,0,0,1,1,0,0,268
362,72,1,0,2,0,3,0,0,269
363,72,1,0,3,0,4,0,0,269
364,72,1,1,3,0,5,0,0,271
365,72,1,4,1,0,6,0,0,270
366,72,1,4,2,0,7,0,0,271
367,73,1,0,0,0,1,0,0,271
368,73,1,0,0,0,1,0,0,275
369,73,1,0,1,0,2,0,0,275
370,73,1,1,1,0,3,0,0,275
371,73,1,1,2,0,4,0,0,275
372,73,1,0,4,0,5,0,0,277
373,74,1,0,0,0,1,0,0,277
374,74,1,0,0,0,1,0,0,278
375,74,1,1,0,0,2,0,0,275
376,74,1,2,0,0,3,0,0,278
377,74,1,2,1,0,4,0,0,278
378,74,1,1,3,0,5,0,0,279
379,75,1,0,0,0,1,0,0,279
380,75,1,0,0,0,1,0,0,280
381,75,1,0,1,0,2,0,0,280
382,75,1,0,2,0,3,0,0,281
383,76,1,0,0,0,1,0,0,281
384,76,1,0,0,0,1,0,0,288
385,76,1,0,0,0,2,1,0,287
386,76,1,0,2,0,3,0,0,288
387,76,1,2,1,0,4,0,0,288
388,76,1,0,4,0,5,0,0,290
389,77,1,0,0,0,1,0,0,290
390,77,1,0,0,0,1,0,0,290
391,77,1,0,1,0,2,0,0,290
392,77,1,1,1,0,3,0,0,293
393,77,1,1,2,0,4,0,0,293
394,77,1,1,3,0,5,0,0,294
395,77,1,2,3,0,6,0,0,293
396,77,1,2,4,0,7,0,0,295
397,78,1,0,0,0,1,0,0,295
398,78,1,0,0,0,1,0,0,296
399,78,1,0,1,0,2,0,0,296
400,78,1,2,0,0,3,0,0,298
401,79,1,0,0,0,1,0,0,298
402,79,1,0,0,0,1,0,0,299
403,79,1,0,1,0,2,0,0,299
404,79,1,0,2,0,3,0,0,301
405,79,1,3,0,0,4,0,0,300
406,79,1,4,0,0,5,0,0,301
407,79,1,4,1,0,6,0,0,301
408,79,1,1,5,0,7,0,0,304
409,80,1,0,0,0,1,0,0,304
410,80,1,0,0,0,1,0,0,304
411,80,1,0,1,0,2,0,0,304
412,80,1,0,2,0,3,0,0,306
413,80,1,0,3,0,4,0,0,306
414,80,1,1,3,0,5,0,0,307
415,80,1,2,3,0,6,0,0,306
416,80,1,0,6,0,7,0,0,311
417,80,1,0,7,0,8,0,0,311
418,80,1,0,8,0,9,0,0,312
419,81,1,0,0,0,1,0,0,312
420,81,1,0,0,0,1,0,0,313
421,82,1,0,0,0,1,0,0,313
422,82,1,0,0,0,1,0,0,314
423,82,1,1,0,0,2,0,0,314
424,82,1,0,2,0,3,0,0,317
425,82,1,0,3,0,4,0,0,315
426,82,1,2,2,0,5,0,0,316
427,82,1,2,3,0,6,0,0,316
428,82,1,2,4,0,7,0,0,318
429,82,1,0,7,0,8,0,0,318
430,82,1,2,6,0,9,0,0,318
431,83,1,0,0,0,1,0,0,318
432,83,1,0,0,0,1,0,0,322
433,84,1,0,0,0,1,0,0,322
434,84,1,0,0,0,1,0,0,323
435,84,1,0,1,0,2,0,0,322
436,84,1,0,2,0,3,0,0,324
437,84,1,0,3,0,4,0,0,324
438,84,1,0,4,0,5,0,0,325
439,85,1,0,0,0,1,0,0,325
440,85,1,0,0,0,1,0,0,327
441,85,1,1,0,0,2,0,0,327
442,85,1,2,0,0,3,0,0,328
443,86,1,0,0,0,1,0,0,328
444,86,1,0,0,0,1,0,0,330
445,86,1,0,1,0,2,0,0,329
446,86,1,0,2,0,3,0,0,330
447,86,1,0,3,0,4,0,0,330
448,86,1,0,4,0,5,0,0,336
449,87,1,0,0,0,1,0,0,336
450,87,1,0,0,0,1,0,0,335
451,87,1,1,0,0,2,0,0,335
452,87,1,0,2,0,3,0,0,337
453,87,1,0,3,0,4,0,0,337
454,87,1,0,4,0,5,0,0,338
455,87,1,0,5,0,6,0,0,337
456,87,1,0,6,0,7,0,0,340
457,88,1,0,0,0,1,0,0,340
458,88,1,0,0,0,1,0,0,341
459,88,1,1,0,0,2,0,0,341
460,88,1,1,1,0,3,0,0,342
461,89,1,0,0,0,1,0,0,342
462,89,1,0,0,0,1,0,0,343
463,90,1,0,0,0,1,0,0,343
464,90,1,0,0,0,1,0,0,347
465,90,1,0,1,0,2,0,0,346
466,90,1,0,2,0,3,0,0,347
467,91,1,0,0,0,1,0,0,347
468,91,1,0,0,0,1,0,0,349
469,91,1,0,1,0,2,0,0,349
470,91,1,0,2,0,3,0,0,349
471,91,1,0,3,0,4,0,0,349
472,91,1,0,4,0,5,0,0,352
473,91,1,0,5,0,6,0,0,352
474,91,1,0,6,0,7,0,0,353
475,91,1,5,2,0,8,0,0,351
476,91,1,5,3,0,9,0,0,353
477,91,1,0,9,0,10,0,0,353
478,91,1,1,9,0,11,0,0,354
479,92,1,0,0,0,1,0,0,354
480,92,1,0,0,0,1,0,0,358
481,92,1,0,1,0,2,0,0,358
482,92,1,0,2,0,3,0,0,359
483,92,1,0,3,0,4,0,0,359
484,92,1,1,3,0,5,0,0,361
485,92,1,4,1,0,6,0,0,360
486,92,1,6,0,0,7,0,0,361
487,93,1,0,0,0,1,0,0,361
488,93,1,0,0,0,1,0,0,364
489,93,1,0,1,0,2,0,0,364
490,93,1,2,0,0,3,0,0,364
491,94,1,0,0,0,1,0,0,364
492,94,1,0,0,0,1,0,0,366
493,94,1,0,1,0,2,0,0,366
494,94,1,0,2,0,3,0,0,367
495,94,1,2,1,0,4,0,0,366
496,94,1,0,4,0,5,0,0,370
497,94,1,0,5,0,6,0,0,370
498,94,1,0,6,0,7,0,0,371
499,95,1,0,0,0,1,0,0,371
500,95,1,0,0,0,1,0,0,370
501,95,1,1,0,0,2,0,0,370
502,95,1,1,1,0,3,0,0,371
503,96,1,0,0,0,1,0,0,371
504,96,1,0,0,0,1,0,0,374
505,96,1,0,1,0,2,0,0,373
506,96,1,0,2,0,3,0,0,374
507,96,1,1,2,0,4,0,0,374
508,96,1,1,3,0,5,0,0,376
509,97,1,0,0,0,1,0,0,376
510,97,1,0,0,0,1,0,0,376
511,97,1,0,1,0,2,0,0,376
512,97,1,0,2,0,3,0,0,385
513,97,1,0,3,0,4,0,0,385
514,97,1,1,3,0,5,0,0,386
515,97,1,1,4,0,6,0,0,385
516,97,1,1,5,0,7,0,0,387
517,97,1,1,6,0,8,0,0,387
518,97,1,1,7,0,9,0,0,388
519,97,1,2,7,0,10,0,0,388
520,97,1,0,10,0,11,0,0,390
521,98,1,0,0,0,1,0,0,390
522,98,1,0,0,0,1,0,0,391
523,99,1,0,0,0,1,0,0,391
524,99,1,0,0,0,1,0,0,393
525,99,1,1,0,0,2,0,0,391
526,99,1,2,0,0,3,0,0,392
527,99,1,2,1,0,4,0,0,392
528,99,1,0,4,0,5,0,0,396
529,99,0,0,0,1,1,0,0,396
530,99,1,2,4,0,7,0,0,396
531,99,1,2,5,0,8,0,0,396
532,99,1,0,8,0,9,0,0,398
533,99,1,4,5,0,10,0,0,398
534,99,1,4,6,0,11,0,0,399
535,99,1,4,7,0,12,0,0,398
536,99,1,4,8,0,13,0,0,401
537,99,1,4,9,0,14,0,0,401
538,99,1,4,10,0,15,0,0,402
539,99,1,12,3,0,16,0,0,402
540,99,1,10,6,0,17,0,0,403
541,100,1,0,0,0,1,0,0,403
542,100,1,0,0,0,1,0,0,404
543,100,1,0,1,0,2,0,0,404
544,100,1,0,2,0,3,0,0,409
545,100,1,0,3,0,4,0,0,408
546,100,1,0,4,0,5,0,0,409
547,101,1,0,0,0,1,0,0,409
548,101,1,0,0,0,1,0,0,411
549,101,1,0,1,0,2,0,0,411
550,101,1,1,1,0,3,0,0,410
551,101,1,1,2,0,4,0,0,410
552,101,1,1,3,0,5,0,0,413
553,101,1,1,4,0,6,0,0,413
554,101,1,1,5,0,7,0,0,414
555,101,1,1,6,0,8,0,0,413
556,101,1,1,7,0,9,0,0,415
557,102,1,0,0,0,1,0,0,415
558,102,1,0,0,0,1,0,0,416
559,102,1,1,0,0,2,0,0,416
560,102,1,0,2,0,3,0,0,419
561,102,1,0,3,0,4,0,0,419
562,102,1,0,4,0,5,0,0,420
563,103,1,0,0,0,1,0,0,420
564,103,1,0,0,0,1,0,0,422
565,103,1,0,1,0,2,0,0,421
566,103,1,0,2,0,3,0,0,422
567,103,1,3,0,0,4,0,0,422
568,103,1,1,3,0,5,0,0,425
569,104,1,0,0,0,1,0,0,425
570,104,1,0,0,0,1,0,0,425
571,105,1,0,0,0,1,0,0,425
572,105,1,0,0,0,1,0,0,427
573,105,1,0,1,0,2,0,0,427
574,105,1,0,2,0,3,0,0,428
575,105,1,2,1,0,4,0,0,426
576,105,1,0,4,0,5,0,0,432
577,106,1,0,0,0,1,0,0,432
578,106,1,0,0,0,1,0,0,433
579,106,1,0,1,0,2,0,0,433
580,106,1,0,2,0,3,0,0,434
581,106,1,0,3,0,4,0,0,434
582,106,1,0,4,0,5,0,0,435
583,106,1,0,5,0,6,0,0,435
584,106,1,0,6,0,7,0,0,438
585,106,1,1,6,0,8,0,0,437
586,106,1,2,6,0,9,0,0,438
587,107,1,0,0,0,1,0,0,438
588,107,1,0,0,0,1,0,0,440
589,107,1,0,1,0,2,0,0,440
590,107,1,1,1,0,3,0,0,440
591,107,1,1,2,0,4,0,0,440
592,107,1,1,3,0,5,0,0,444
593,108,1,0,0,0,1,0,0,444
594,108,1,0,0,0,1,0,0,445
595,108,1,1,0,0,2,0,0,444
596,108,1,0,2,0,3,0,0,446
597,108,1,1,2,0,4,0,0,446
598,108,1,0,4,0,5,0,0,447
599,109,1,0,0,0,1,0,0,447
600,109,1,0,0,0,1,0,0,448
601,110,1,0,0,0,1,0,0,448
602,110,1,0,0,0,1,0,0,449
603,110,1,1,0,0,2,0,0,449
604,110,1,0,2,0,3,0,0,451
605,110,1,1,2,0,4,0,0,450
606,110,1,1,3,0,5,0,0,451
607,111,1,0,0,0,1,0,0,451
608,111,1,0,0,0,1,0,0,456
609,111,1,0,1,0,2,0,0,456
610,111,1,0,2,0,3,0,0,456
611,111,1,0,3,0,4,0,0,456
612,111,1,0,4,0,5,0,0,458
613,112,1,0,0,0,1,0,0,458
614,112,1,0,0,0,1,0,0,459
615,112,1,0,1,0,2,0,0,458
616,112,1,0,2,0,3,0,0,461
617,113,1,0,0,0,1,0,0,461
618,113,1,0,0,0,1,0,0,462
619,114,1,0,0,0,1,0,0,462
620,114,1,0,0,0,1,0,0,463
621,114,1,1,0,0,2,0,0,463
622,114,1,1,1,0,3,0,0,464
623,114,1,1,2,0,4,0,0,464
624,114,1,0,4,0,5,0,0,468
625,114,1,4,1,0,6,0,0,464
626,114,1,4,2,0,7,0,0,465
627,114,1,4,3,0,8,0,0,465
628,114,1,4,4,0,9,0,0,467
629,114,1,4,5,0,10,0,0,467
630,114,1,5,5,0,11,0,0,467
631,115,1,0,0,0,1,0,0,467
632,115,1,0,0,0,1,0,0,470
633,115,1,0,1,0,2,0,0,470
634,115,1,0,2,0,3,0,0,471
635,115,1,0,3,0,4,0,0,470
636,115,1,0,4,0,5,0,0,472
637,115,1,4,1,0,6,0,0,472
638,115,1,4,2,0,7,0,0,473
639,115,1,6,1,0,8,0,0,473
640,115,1,2,6,0,9,0,0,479
641,116,1,0,0,0,1,0,0,479
642,116,1,0,0,0,1,0,0,480
643,117,1,0,0,0,1,0,0,480
644,117,1,0,0,0,1,0,0,482
645,117,1,0,1,0,2,0,0,481
646,117,1,0,2,0,3,0,0,482
647,118,1,0,0,0,1,0,0,482
648,118,1,0,0,0,1,0,0,485
649,118,1,1,0,0,2,0,0,485
650,118,1,0,2,0,3,0,0,484
651,118,1,3,0,0,4,0,0,484
652,118,1,2,2,0,5,0,0,486
653,119,1,0,0,0,1,0,0,486
654,119,1,0,0,0,1,0,0,487
655,119,1,0,1,0,2,0,0,486
656,119,1,0,2,0,3,0,0,490
657,119,1,0,3,0,4,0,0,490
658,119,1,1,3,0,5,0,0,491
659,120,1,0,0,0,1,0,0,491
660,120,1,0,0,0,1,0,0,492
661,121,1,0,0,0,1,0,0,492
662,121,1,0,0,0,1,0,0,493
663,121,1,0,1,0,2,0,0,493
664,121,1,0,2,0,3,0,0,496
665,121,1,0,3,0,4,0,0,495
666,121,1,1,3,0,5,0,0,496
667,121,1,2,3,0,6,0,0,496
668,121,1,0,6,0,7,0,0,498
669,121,1,0,7,0,8,0,0,498
670,121,1,0,8,0,9,0,0,498
671,121,1,0,9,0,10,0,0,498
672,121,1,0,10,0,11,0,0,503
673,122,1,0,0,0,1,0,0,503
674,122,1,0,0,0,1,0,0,504
